protein accession	genome accession
NC_133203.1_K04564_101605b8	GCF_958299795.1
NC_133203.1_K04564_e84107a7	GCF_958299795.1
NC_133214.1_K04564_27a93157	GCF_958299795.1
XP_073230536.1	GCF_958299795.1
XP_073236307.1	GCF_958299795.1
orbicella_host_TRINITY_DN199962_c6_g1_i3.p1|orbicella_faveolata	
orbicella_host_TRINITY_DN215728_c1_g2_i1.p1|orbicella_faveolata	
pseudodiploria_host_TRINITY_DN196811_c4_g3_i7.p1|pseudodiploria_clivosa	
pseudodiploria_host_TRINITY_DN177525_c0_g4_i17.p2|pseudodiploria_clivosa	
pseudodiploria_host_TRINITY_DN177525_c0_g4_i7.p1|pseudodiploria_clivosa	
siderastrea_host_TRINITY_DN422136_c0_g2_i3.p1|siderastrea_radians	
siderastrea_host_TRINITY_DN434783_c2_g2_i2.p1|siderastrea_radians	
a_tenuis_TRINITY_DN8520_c0_g2_i1.p1|acropora_tenuis	
DF239422.1_K04564_97e4b8bf	GCA_000507305.1
DF239687.1_K04564_210fd9cb	GCA_000507305.1
DF239687.1_K04564_387475d1	GCA_000507305.1
DF239687.1_K04564_8557d9bb	GCA_000507305.1
LSRX01000377.1_K04564_44e29dab	GCA_001939145.1
LSRX01000795.1_K04564_1fcb6a32	GCA_001939145.1
LSRX01001534.1_K04564_5042868b	GCA_001939145.1
OLP79028.1	GCA_001939145.1
OLP88777.1	GCA_001939145.1
OLP99006.1	GCA_001939145.1
BGNK01003376.1_K04564_a3776c6c	GCA_003297005.1
BGNK01004149.1_K04564_08628d5d	GCA_003297005.1
BGPT01000358.1_K04564_070be8c8	GCA_003297045.1
BGPT01000358.1_K04564_7f668c66	GCA_003297045.1
BGPT01001106.1_K04564_f06818ef	GCA_003297045.1
BGPT01004387.1_K04564_42ae3337	GCA_003297045.1
BGPT01004387.1_K04564_e2a22457	GCA_003297045.1
CAE7445615.1	GCA_905221605.1
CAE7459428.1	GCA_905221605.1
CAJNDS010002352.1_K04564_638e9d57	GCA_905221605.1
CAJNDS010002396.1_K04564_39524e3c	GCA_905221605.1
CAJNDS010002544.1_K04564_89a3bd15	GCA_905221605.1
CAE7755567.1	GCA_905231915.1
CAE7835006.1	GCA_905231915.1
CAE7848606.1	GCA_905231915.1
CAJNJA010010971.1_K04564_bfba0b71	GCA_905231915.1
CAJNJA010037584.1_K04564_1d89d229	GCA_905231915.1
CAJNJA010039315.1_K04564_078188b5	GCA_905231915.1
CAJNJA010049029.1_K04564_31328c11	GCA_905231915.1
CAJNJA010052942.1_K04564_06e367ea	GCA_905231915.1
CAJNJA010064252.1_K04564_35c86fa4	GCA_905231915.1
CAL1167723.1	GCA_947184155.2
CAL1168149.1	GCA_947184155.2
CAL1168155.1	GCA_947184155.2
CAMXCT020000001.1_K04564_24b48a7d	GCA_947184155.2
CAMXCT020000001.1_K04564_62fc6807	GCA_947184155.2
CAMXCT020000624.1_K04564_b4735730	GCA_947184155.2
CAMXCT020006312.1_K04564_4b0da42b	GCA_947184155.2
CAMXCT020006499.1_K04564_88d2492d	GCA_947184155.2
CAMXCT020006499.1_K04564_c81ee4b4	GCA_947184155.2
CAK9026913.1	GCA_963969995.1
CAK9047237.1	GCA_963969995.1
CAK9091470.1	GCA_963969995.1
CAK9100252.1	GCA_963969995.1
CAK9100322.1	GCA_963969995.1
CAXAMM010011742.1_K04564_596608af	GCA_963969995.1
CAXAMM010020073.1_K04564_521e95f5	GCA_963969995.1
CAXAMM010025685.1_K04564_b43539e3	GCA_963969995.1
CAXAMM010040162.1_K04564_a70eaf5e	GCA_963969995.1
CAXAMM010040162.1_K04564_f9608fa6	GCA_963969995.1
CAXAMM010040173.1_K04564_1d3f7085	GCA_963969995.1
CAXAMM010040173.1_K04564_b38f776c	GCA_963969995.1
CAXAMM010041596.1_K04564_b4e14a51	GCA_963969995.1
CAXAMM010041607.1_K04564_b03297c4	GCA_963969995.1
CAK9032107.1	GCA_963970005.1
CAK9113181.1	GCA_963970005.1
CAK9113185.1	GCA_963970005.1
CAXAMN010010569.1_K04564_fd3bda58	GCA_963970005.1
CAXAMN010010580.1_K04564_c8f29b87	GCA_963970005.1
CAXAMN010027783.1_K04564_0f8290bd	GCA_963970005.1
CAXAMN010027783.1_K04564_a5ab1868	GCA_963970005.1
CAXAMN010027806.1_K04564_b422a675	GCA_963970005.1
CAXAMN010027806.1_K04564_f0a63ebd	GCA_963970005.1
OZ257276.1_K04564_a64e3044	GCA_965279495.1
OZ257276.1_K04564_ace37290	GCA_965279495.1
OZ257313.1_K04564_a15fd385	GCA_965279495.1
TRINITY_DN30502_c0_g1_i4.p1|durusdinium_trenchii	
TRINITY_DN30502_c0_g1_i1.p1|durusdinium_trenchii	
TRINITY_DN30502_c0_g1_i3.p1|durusdinium_trenchii	
TRINITY_DN30502_c0_g1_i2.p1|durusdinium_trenchii	
c_goreaui_TRINITY_DN626_c0_g1_i2.p1|cladocopium_goreaui	
c_goreaui_TRINITY_DN626_c0_g1_i4.p1|cladocopium_goreaui	
siderastrea_symb_TRINITY_DN604900_c0_g1_i1.p1|breviolum_b5	
siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1|breviolum_b5	
siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1|breviolum_b5	
siderastrea_symb_TRINITY_DN475799_c0_g1_i1.p1|breviolum_b5	
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1|breviolum_b5	
siderastrea_symb_TRINITY_DN700764_c0_g1_i1.p1|breviolum_b5	
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1|symbiodinium_a3	
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1|symbiodinium_a3	
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1|symbiodinium_a3	
orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1|breviolum_faviinorum	
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1|breviolum_faviinorum	
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1|breviolum_faviinorum	
orbicella_symb_TRINITY_DN188752_c0_g3_i1.p1|breviolum_faviinorum	
orbicella_symb_TRINITY_DN188752_c0_g3_i4.p1|breviolum_faviinorum	
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1|breviolum_faviinorum	
orbicella_symb_TRINITY_DN319259_c0_g1_i1.p2|breviolum_faviinorum	
orbicella_symb_TRINITY_DN196811_c0_g2_i1.p2|breviolum_faviinorum	
d_trenchii_TRINITY_DN533_c0_g1_i4.p1|durusdinium_trenchii	
d_trenchii_TRINITY_DN32906_c0_g1_i1.p1|durusdinium_trenchii	
evm.model.scf7180000353951.8_evm.model.scf7180000353951.9_evm.model.scf7180000353951.9.1.60e71e6c.1.60f65222|cladocopium_goreaui	
evm.model.scf7180000353951.10|cladocopium_goreaui	
evm.model.scf7180000356577.1|cladocopium_goreaui	
